,K,i,acc,acc2,duration
0,3.0,100.0,0.53,0.94,3.88478422164917
1,3.0,400.0,0.4675,0.8475,13.49977993965149
2,3.0,700.0,0.5585714285714286,0.8685714285714285,22.687249660491943
3,3.0,1000.0,0.548,0.893,32.907026290893555
4,3.0,1300.0,0.5715384615384616,0.9092307692307692,42.039021253585815
5,3.0,1600.0,0.57125,0.9025,51.60103225708008
6,3.0,1900.0,0.5821052631578948,0.9010526315789473,60.98308777809143
7,3.0,2200.0,0.5909090909090909,0.8945454545454545,71.2666597366333
8,3.0,2500.0,0.5796,0.8788,83.48402047157288
9,3.0,2800.0,0.5771428571428572,0.8657142857142858,91.8212583065033
10,6.0,100.0,0.55,0.97,3.634746551513672
11,6.0,400.0,0.49,0.88,14.32613468170166
12,6.0,700.0,0.5728571428571428,0.8942857142857142,24.620821475982666
13,6.0,1000.0,0.564,0.912,34.922741174697876
14,6.0,1300.0,0.5907692307692308,0.9238461538461539,45.33716297149658
15,6.0,1600.0,0.601875,0.92,55.327882289886475
16,6.0,1900.0,0.62,0.9205263157894736,65.59654021263123
17,6.0,2200.0,0.6290909090909091,0.9136363636363637,75.89691257476807
18,6.0,2500.0,0.6136,0.896,85.74250912666321
19,6.0,2800.0,0.6089285714285714,0.8832142857142857,97.27733445167542
20,9.0,100.0,0.56,0.98,3.6613714694976807
21,9.0,400.0,0.4975,0.885,14.673879623413086
22,9.0,700.0,0.5942857142857143,0.9057142857142857,25.844233751296997
23,9.0,1000.0,0.585,0.92,36.62258434295654
24,9.0,1300.0,0.6153846153846154,0.9307692307692308,47.69103813171387
25,9.0,1600.0,0.628125,0.926875,58.57902383804321
26,9.0,1900.0,0.6484210526315789,0.9284210526315789,69.84651851654053
27,9.0,2200.0,0.6572727272727272,0.9218181818181819,79.96706581115723
28,9.0,2500.0,0.6404,0.906,90.89914298057556
29,9.0,2800.0,0.635,0.8939285714285714,101.86395907402039
30,12.0,100.0,0.62,0.98,3.8103413581848145
31,12.0,400.0,0.555,0.9025,15.650771617889404
32,12.0,700.0,0.6414285714285715,0.9185714285714286,27.170518398284912
33,12.0,1000.0,0.627,0.933,36.685582876205444
34,12.0,1300.0,0.6515384615384615,0.9415384615384615,41.277034759521484
35,12.0,1600.0,0.66125,0.936875,50.559370040893555
36,12.0,1900.0,0.6831578947368421,0.9384210526315789,60.031336069107056
37,12.0,2200.0,0.6922727272727273,0.9318181818181818,69.513592004776
38,12.0,2500.0,0.676,0.9204,79.00582075119019
39,12.0,2800.0,0.6721428571428572,0.9096428571428572,88.34234237670898
40,15.0,100.0,0.71,0.98,3.3394463062286377
41,15.0,400.0,0.6575,0.915,13.373152017593384
42,15.0,700.0,0.7242857142857143,0.9271428571428572,23.470262050628662
43,15.0,1000.0,0.694,0.94,33.511677265167236
44,15.0,1300.0,0.7076923076923077,0.946923076923077,42.94822573661804
45,15.0,1600.0,0.71125,0.943125,50.758548736572266
46,15.0,1900.0,0.728421052631579,0.9442105263157895,60.00617337226868
47,15.0,2200.0,0.7368181818181818,0.9381818181818182,69.52883815765381
48,15.0,2500.0,0.7252,0.928,95.97434949874878
49,15.0,2800.0,0.7196428571428571,0.9175,109.13737559318542
50,18.0,100.0,0.79,0.98,4.114119529724121
51,18.0,400.0,0.6875,0.925,16.45501184463501
52,18.0,700.0,0.7485714285714286,0.9357142857142857,28.81757402420044
53,18.0,1000.0,0.711,0.946,41.2335090637207
54,18.0,1300.0,0.7253846153846154,0.9523076923076923,53.48201251029968
55,18.0,1600.0,0.73,0.9475,65.72720217704773
56,18.0,1900.0,0.748421052631579,0.9478947368421052,75.56299614906311
57,18.0,2200.0,0.7559090909090909,0.9422727272727273,85.29432511329651
58,18.0,2500.0,0.7436,0.9324,105.57230401039124
59,18.0,2800.0,0.7375,0.9217857142857143,107.79684519767761
60,21.0,100.0,0.8,0.98,4.111879825592041
61,21.0,400.0,0.7025,0.9275,19.424548149108887
62,21.0,700.0,0.7628571428571429,0.94,38.88270688056946
63,21.0,1000.0,0.746,0.95,46.70418620109558
64,21.0,1300.0,0.7592307692307693,0.9553846153846154,60.24551033973694
65,21.0,1600.0,0.759375,0.951875,76.10844278335571
66,21.0,1900.0,0.7742105263157895,0.9531578947368421,94.54114627838135
67,21.0,2200.0,0.7790909090909091,0.9477272727272728,110.60424470901489
68,21.0,2500.0,0.766,0.9384,134.48764562606812
69,21.0,2800.0,0.7575,0.9275,145.46333193778992
